title,title_type,genre,runtime,mpaa_rating,studio,thtr_rel_date,thtr_rel_year,thtr_rel_month,thtr_rel_day,dvd_rel_date,dvd_rel_year,dvd_rel_month,dvd_rel_day,imdb_rating,imdb_num_votes,critics_rating,critics_score,audience_rating,audience_score,best_pic_nom,best_pic_win,best_actor_win,best_actress_win,best_dir_win,top200_box,director
The Muppet Christmas Carol,Feature Film,Science Fiction & Fantasy,85,G,Walt Disney Home Entertainment,1992-01-01T05:00:00Z,1992,1,1,2002-10-08T04:00:00Z,2002,10,8,7.7,33101,Fresh,69,Upright,85,no,no,no,no,no,no,Brian Henson
Die Hard 2,Feature Film,Mystery & Suspense,124,R,20th Century Fox,1990-07-02T04:00:00Z,1990,7,2,1999-03-09T05:00:00Z,1999,3,9,7.1,259822,Fresh,69,Upright,70,no,no,no,no,no,no,Renny Harlin
The Reckoning,Feature Film,Documentary,112,R,Paramount Classics,2004-03-05T05:00:00Z,2004,3,5,2004-08-03T04:00:00Z,2004,8,3,6.6,4908,Rotten,40,Spilled,57,no,no,no,no,no,no,Pamela Yates
Alice in Wonderland,Feature Film,Action & Adventure,108,PG,Walt Disney Pictures,2010-03-05T05:00:00Z,2010,3,5,2010-06-01T04:00:00Z,2010,6,1,6.5,290356,Rotten,52,Spilled,55,no,no,no,no,no,no,Tim Burton
I'm Not There,Feature Film,Drama,135,R,The Weinstein Co.,2007-11-21T05:00:00Z,2007,11,21,2008-05-06T04:00:00Z,2008,5,6,7,47297,Certified Fresh,76,Upright,70,no,no,no,yes,no,no,Todd Haynes
Three Wishes,Feature Film,Drama,115,PG,HBO Video,1995-11-03T05:00:00Z,1995,11,3,2001-08-07T04:00:00Z,2001,8,7,6.1,2145,Rotten,13,Spilled,51,no,no,no,no,no,no,Martha Coolidge
Aliens,Feature Film,Action & Adventure,137,R,20th Century Fox Film Corporat,1986-07-18T04:00:00Z,1986,7,18,1999-06-01T04:00:00Z,1999,6,1,8.4,466400,Certified Fresh,98,Upright,94,no,no,no,no,yes,no,James Cameron
Driving Miss Daisy,Feature Film,Drama,99,PG,Fathom Events,1989-06-01T04:00:00Z,1989,6,1,1997-04-29T04:00:00Z,1997,4,29,7.4,69338,Certified Fresh,81,Upright,81,yes,yes,no,yes,no,no,Bruce Beresford
Max,Feature Film,Drama,106,R,Lions Gate Films,2002-12-27T05:00:00Z,2002,12,27,2003-05-20T04:00:00Z,2003,5,20,6.6,6228,Fresh,69,Upright,64,no,no,no,no,no,no,Menno Meyjes
Serpico,Feature Film,Drama,130,R,Paramount Pictures,1973-12-05T05:00:00Z,1973,12,5,2002-12-03T05:00:00Z,2002,12,3,7.8,75468,Fresh,90,Upright,88,no,no,yes,no,no,no,Sidney Lumet
Basic,Feature Film,Drama,98,R,Sony Pictures Entertainment,2003-03-28T05:00:00Z,2003,3,28,2003-07-08T04:00:00Z,2003,7,8,6.5,48519,Rotten,21,Upright,64,no,no,no,no,no,no,John McTiernan
The Guru,Feature Film,Comedy,94,R,Universal Pictures,2002-01-31T05:00:00Z,2002,1,31,2003-06-03T04:00:00Z,2003,6,3,5.4,13523,Rotten,57,Spilled,40,no,no,no,no,no,no,Daisy von Scherler Mayer
The Color Purple,Feature Film,Drama,154,PG-13,Warner Home Video,1985-12-16T05:00:00Z,1985,12,16,2003-02-18T05:00:00Z,2003,2,18,7.8,58668,Fresh,88,Upright,94,yes,no,no,no,yes,no,Steven Spielberg
The Dream Team,Feature Film,Comedy,113,PG-13,MCA Universal Home Video,1989-04-07T04:00:00Z,1989,4,7,2003-07-01T04:00:00Z,2003,7,1,6.5,9654,Rotten,54,Upright,62,no,no,no,no,no,no,Howard Zieff
The Man Without a Face,Feature Film,Drama,115,PG-13,Warner Home Video,1993-08-25T04:00:00Z,1993,8,25,2004-02-24T05:00:00Z,2004,2,24,6.7,22079,Fresh,67,Upright,64,no,no,no,no,yes,no,Mel Gibson
The White Countess,Feature Film,Drama,135,PG-13,Sony Pictures Classics,2005-12-21T05:00:00Z,2005,12,21,2006-05-16T04:00:00Z,2006,5,16,6.7,5258,Rotten,50,Spilled,49,no,no,no,no,no,no,James Ivory
Viva Knievel!,Feature Film,Drama,106,PG,WARNER BROTHERS PICTURES,1977-07-15T04:00:00Z,1977,7,15,2005-05-31T04:00:00Z,2005,5,31,2.7,761,Rotten,17,Spilled,17,no,no,no,no,no,no,Gordon Douglas
Rising Sun,Feature Film,Drama,125,R,Twentieth Century Fox Home Entertainment,1993-07-30T04:00:00Z,1993,7,30,2000-06-20T04:00:00Z,2e3,6,20,6.2,33839,Rotten,35,Spilled,40,no,no,no,no,no,no,Philip Kaufman
Mojados: Through the Night,Documentary,Documentary,65,Unrated,Diva,2004-03-12T05:00:00Z,2004,3,12,2005-08-02T04:00:00Z,2005,8,2,7.3,183,Fresh,73,Upright,88,no,no,no,no,no,no,Tommy Davis
Seven Pounds,Feature Film,Drama,123,PG-13,Sony Pictures,2008-12-19T05:00:00Z,2008,12,19,2009-03-31T04:00:00Z,2009,3,31,7.7,225130,Rotten,27,Upright,75,no,no,no,no,no,no,Gabriele Muccino
The Mothman Prophecies,Feature Film,Mystery & Suspense,119,PG-13,Screen Gems,2002-01-25T05:00:00Z,2002,1,25,2002-06-04T04:00:00Z,2002,6,4,6.5,62241,Rotten,52,Spilled,56,no,no,no,no,no,no,Mark Pellington
Breaking and Entering,Feature Film,Drama,120,R,The Weinstein Company,2007-02-16T05:00:00Z,2007,2,16,2007-05-08T04:00:00Z,2007,5,8,6.6,19714,Rotten,34,Spilled,52,no,no,no,no,yes,no,Anthony Minghella
The English Patient,Feature Film,Drama,162,R,Miramax Films,1996-11-15T05:00:00Z,1996,11,15,1998-03-24T05:00:00Z,1998,3,24,7.4,137126,Certified Fresh,84,Upright,83,yes,yes,yes,no,yes,no,Anthony Minghella
Heaven & Earth,Feature Film,Drama,140,R,Warner Home Video,1994-06-01T04:00:00Z,1994,6,1,2004-10-19T04:00:00Z,2004,10,19,6.8,10468,Rotten,44,Upright,72,no,no,no,no,yes,no,Oliver Stone
The Last Kiss,Feature Film,Drama,115,R,Paramount,2006-09-15T04:00:00Z,2006,9,15,2006-12-26T05:00:00Z,2006,12,26,6.5,37770,Rotten,46,Spilled,59,no,no,no,no,no,no,Tony Goldwyn
Three of Hearts,Feature Film,Drama,102,R,Sony Pictures Home Entertainment,1993-04-30T04:00:00Z,1993,4,30,2004-05-04T04:00:00Z,2004,5,4,5.5,1628,Rotten,56,Spilled,38,no,no,no,no,no,no,Yurek Bogayevicz
The Tortured,Feature Film,Mystery & Suspense,79,R,IFC Films,2012-06-15T04:00:00Z,2012,6,15,2012-10-16T04:00:00Z,2012,10,16,5.5,5587,Rotten,6,Spilled,35,no,no,no,no,no,no,Robert Lieberman
The Package,Feature Film,Mystery & Suspense,108,R,Orion Home Video,1989-08-25T04:00:00Z,1989,8,25,2001-05-15T04:00:00Z,2001,5,15,6.4,6247,Fresh,64,Spilled,43,no,no,yes,no,no,no,Andrew Davis
"Happy, Texas",Feature Film,Comedy,98,PG-13,Miramax Films,1999-10-01T04:00:00Z,1999,10,1,2001-10-02T04:00:00Z,2001,10,2,6.3,8646,Certified Fresh,81,Spilled,54,no,no,no,no,no,no,Mark Illsley
Then She Found Me,Feature Film,Drama,100,R,ThinkFilm,2007-09-07T04:00:00Z,2007,9,7,2008-09-02T04:00:00Z,2008,9,2,6,8320,Rotten,50,Spilled,44,no,no,yes,yes,no,no,Helen Hunt
Promises,Documentary,Documentary,106,Unrated,Cowboy Pictures,2002-03-22T05:00:00Z,2002,3,22,2004-11-16T05:00:00Z,2004,11,16,8.5,2362,Certified Fresh,96,Upright,96,no,no,no,no,no,no,B.Z. Goldberg
Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,Documentary,Documentary,92,Unrated,First Run Features,2009-06-01T04:00:00Z,2009,6,1,2010-07-20T04:00:00Z,2010,7,20,7.8,1942,Certified Fresh,96,Upright,89,no,no,no,no,no,no,Judith Ehrlich
The Recruit,Feature Film,Mystery & Suspense,115,PG-13,Touchstone Pictures,2003-01-31T05:00:00Z,2003,1,31,2003-05-27T04:00:00Z,2003,5,27,6.6,110238,Rotten,43,Spilled,58,no,no,yes,no,no,no,Roger Donaldson
Alvin and the Chipmunks: Chipwrecked,Feature Film,Animation,87,G,20th Century Fox,2011-12-16T05:00:00Z,2011,12,16,2012-03-27T04:00:00Z,2012,3,27,4.4,21501,Rotten,12,Spilled,52,no,no,no,no,no,no,Mike Mitchell (VI)
The Thin Blue Line,Documentary,Documentary,103,Unrated,HBO Video,1988-08-25T04:00:00Z,1988,8,25,2005-07-26T04:00:00Z,2005,7,26,8.1,14359,Fresh,100,Upright,90,no,no,no,no,no,no,Errol Morris
The Cotton Club,Feature Film,Musical & Performing Arts,127,R,Nelson Entertainment,1984-12-14T05:00:00Z,1984,12,14,2000-01-19T05:00:00Z,2e3,1,19,6.5,12450,Fresh,75,Spilled,55,no,no,no,no,yes,no,Francis Ford Coppola
Lord of the Flies,Feature Film,Drama,90,R,Nelson Entertainment,1989-01-01T05:00:00Z,1989,1,1,2001-11-20T05:00:00Z,2001,11,20,6.4,21704,Fresh,63,Spilled,52,no,no,no,no,no,no,Harry Hook
"Same Time, Next Year",Feature Film,Drama,119,PG,Universal Pictures,1978-11-22T05:00:00Z,1978,11,22,2004-04-06T04:00:00Z,2004,4,6,7.2,4375,Rotten,40,Upright,85,no,no,no,yes,no,no,Robert Mulligan
Proof of Life,Feature Film,Drama,135,R,Warner Bros. Pictures,2000-12-08T05:00:00Z,2e3,12,8,2001-06-19T04:00:00Z,2001,6,19,6.2,48324,Rotten,40,Spilled,43,no,no,yes,no,no,no,Taylor Hackford
Waking Up in Reno,Feature Film,Comedy,91,R,Miramax Films,2002-10-25T04:00:00Z,2002,10,25,2003-04-08T04:00:00Z,2003,4,8,5.5,4768,Rotten,13,Spilled,30,no,no,no,yes,no,no,Jordan Brady
Silent Fall,Feature Film,Mystery & Suspense,101,R,Warner Home Video,1994-10-28T04:00:00Z,1994,10,28,2000-06-13T04:00:00Z,2e3,6,13,5.9,2944,Rotten,24,Spilled,38,no,no,yes,no,no,no,Bruce Beresford
Rock 'n' Roll High School,Feature Film,Comedy,93,PG,New World Pictures,1979-08-04T04:00:00Z,1979,8,4,1999-05-02T04:00:00Z,1999,5,2,6.8,6788,Fresh,79,Upright,75,no,no,no,no,no,no,Allan Arkush
Twilight Zone---The Movie,Feature Film,Horror,101,PG,Warner Bros. Pictures,1983-06-24T04:00:00Z,1983,6,24,2007-10-09T04:00:00Z,2007,10,9,6.5,24783,Fresh,65,Spilled,55,no,no,no,no,no,no,Joe Dante
The Golden Bowl,Feature Film,Drama,130,R,Lions Gate Films,2000-05-14T04:00:00Z,2e3,5,14,2001-11-06T05:00:00Z,2001,11,6,6,3745,Rotten,54,Spilled,39,no,no,no,no,no,no,James Ivory
Rio 2,Feature Film,Animation,101,G,20th Century Fox,2014-04-11T04:00:00Z,2014,4,11,2014-07-15T04:00:00Z,2014,7,15,6.4,54726,Rotten,48,Spilled,59,no,no,yes,no,no,no,Carlos Saldanha
Easy,Feature Film,Drama,99,R,Magic Lamp Releasing,2004-11-26T05:00:00Z,2004,11,26,2005-03-01T05:00:00Z,2005,3,1,5.9,1493,Rotten,59,Spilled,47,no,no,no,no,no,no,Jane Weinstock
Major League: Back to the Minors,Feature Film,Comedy,100,PG-13,Warner Home Video,1998-04-17T04:00:00Z,1998,4,17,2000-05-16T04:00:00Z,2e3,5,16,4.4,5616,Rotten,21,Spilled,24,no,no,no,no,no,no,John Warren
The Wedding Banquet (Xi yan),Feature Film,Drama,106,R,Good Machine,1993-08-04T04:00:00Z,1993,8,4,2004-06-15T04:00:00Z,2004,6,15,7.6,10492,Fresh,96,Upright,87,no,no,no,no,yes,no,Ang Lee
Gotti,TV Movie,Drama,116,R,HBO Video,1996-08-17T04:00:00Z,1996,8,17,2000-09-19T04:00:00Z,2e3,9,19,7.3,4451,Fresh,60,Upright,83,no,no,no,no,no,no,Robert Harmon
Strange Brew,Feature Film,Comedy,90,R,WARNER BROTHERS PICTURES,1983-08-19T04:00:00Z,1983,8,19,2002-10-01T04:00:00Z,2002,10,1,6.8,12269,Fresh,71,Upright,81,no,no,no,no,no,no,Dave Thomas
Robocop 2,Feature Film,Action & Adventure,117,R,MGM,1990-06-22T04:00:00Z,1990,6,22,1997-10-22T04:00:00Z,1997,10,22,5.7,60335,Rotten,32,Spilled,35,no,no,no,no,no,no,Irvin Kershner
Riders (Steal),Feature Film,Action & Adventure,83,R,Miramax,2002-08-05T04:00:00Z,2002,8,5,2005-04-25T04:00:00Z,2005,4,25,5.5,5035,Rotten,29,Spilled,34,no,no,no,no,no,no,Gerard Pires
Warrior,Feature Film,Drama,140,PG-13,Lionsgate,2011-09-09T04:00:00Z,2011,9,9,2011-12-20T05:00:00Z,2011,12,20,8.2,315051,Certified Fresh,82,Upright,92,no,no,no,no,no,no,Gavin O'Connor
Percy Jackson: Sea of Monsters,Feature Film,Drama,106,PG,20th Century Fox,2013-08-07T04:00:00Z,2013,8,7,2013-12-17T05:00:00Z,2013,12,17,5.9,82737,Rotten,42,Spilled,55,no,no,no,no,no,no,Thor Freudenthal
Visioneers,Feature Film,Drama,94,R,Gravitas,2008-06-12T04:00:00Z,2008,6,12,2009-07-21T04:00:00Z,2009,7,21,6.1,4944,Fresh,70,Spilled,54,no,no,no,no,no,no,Jared Drake
Bats,Feature Film,Drama,91,R,Destination Films,1999-10-22T04:00:00Z,1999,10,22,2001-08-07T04:00:00Z,2001,8,7,3.6,8229,Rotten,17,Spilled,14,no,no,no,no,no,no,Louis Morneau
The Brother from Another Planet,Feature Film,Drama,108,R,Twentieth Century Fox Home Entertainment,1984-09-07T04:00:00Z,1984,9,7,2003-10-25T04:00:00Z,2003,10,25,6.8,4516,Fresh,92,Upright,76,no,no,no,no,no,no,John Sayles
Blame It on Rio,Feature Film,Comedy,100,R,MGM,1984-02-17T05:00:00Z,1984,2,17,2001-05-22T04:00:00Z,2001,5,22,5.7,7858,Rotten,9,Spilled,40,no,no,no,no,no,no,Stanley Donen
North Face (Nordwand),Feature Film,Drama,126,Unrated,Music Box Films,2010-01-29T05:00:00Z,2010,1,29,2010-05-11T04:00:00Z,2010,5,11,7.4,10938,Certified Fresh,84,Upright,82,no,no,no,no,no,no,Philipp Stolzl
Predator,Feature Film,Action & Adventure,107,R,20th Century Fox,1987-06-12T04:00:00Z,1987,6,12,2000-12-26T05:00:00Z,2e3,12,26,7.8,279704,Certified Fresh,78,Upright,87,no,no,no,no,no,no,Shane Black
The Reef,Feature Film,Mystery & Suspense,94,R,Image Entertainment,2010-05-15T04:00:00Z,2010,5,15,2011-07-19T04:00:00Z,2011,7,19,5.8,11192,Fresh,78,Spilled,41,no,no,no,no,no,no,Andrew Traucki
Dirty Sanchez: The Movie,Documentary,Comedy,94,R,NA,2007-09-11T04:00:00Z,2007,9,11,2007-09-04T04:00:00Z,2007,9,4,6.2,3851,Rotten,40,Upright,75,no,no,no,no,no,no,Jim Hickey
Shakedown,Feature Film,Drama,97,R,MCA Universal Home Video,1988-05-06T04:00:00Z,1988,5,6,1998-06-15T04:00:00Z,1998,6,15,5.8,1838,Fresh,71,Spilled,43,no,no,no,no,no,no,James Glickenhaus
The Principal,Feature Film,Drama,109,R,Sony Pictures Home Entertainment,1987-09-18T04:00:00Z,1987,9,18,2002-07-30T04:00:00Z,2002,7,30,6.2,6552,Rotten,50,Spilled,52,no,no,no,no,no,no,Christopher Cain
A New Life,Feature Film,Drama,104,PG-13,Paramount Pictures,1988-03-25T05:00:00Z,1988,3,25,2013-02-26T05:00:00Z,2013,2,26,5.7,390,Rotten,29,Spilled,25,no,no,no,no,no,no,Alan Alda
Arlington Road,Feature Film,Mystery & Suspense,117,R,Sony Pictures Home Entertainment,1999-07-09T04:00:00Z,1999,7,9,2001-12-11T05:00:00Z,2001,12,11,7.2,68429,Fresh,62,Upright,74,no,no,yes,no,no,no,Mark Pellington
Annie Hall,Feature Film,Comedy,93,PG,United Artists,1977-04-20T05:00:00Z,1977,4,20,1998-04-28T04:00:00Z,1998,4,28,8.1,182983,Certified Fresh,98,Upright,93,yes,yes,no,yes,yes,no,Woody Allen
Charlie: The Life and Art of Charles Chaplin,Documentary,Documentary,132,Unrated,Warner Bros.,2004-02-13T05:00:00Z,2004,2,13,NA,NA,NA,NA,8,1147,Fresh,95,Upright,90,no,no,no,no,no,no,Richard Schickel
The Sessions,Feature Film,Drama,95,R,Fox Searchlight Pictures,2012-10-19T04:00:00Z,2012,10,19,2013-02-12T05:00:00Z,2013,2,12,7.2,35635,Certified Fresh,93,Upright,80,no,no,no,yes,no,no,Ben Lewin
Prison,Feature Film,Drama,102,R,New World Video,1988-03-04T05:00:00Z,1988,3,4,2013-02-19T05:00:00Z,2013,2,19,5.9,2569,Rotten,40,Spilled,34,no,no,no,no,no,no,Renny Harlin
Kiss of Death,Feature Film,Drama,101,R,Twentieth Century Fox Home Entertainment,1995-05-19T04:00:00Z,1995,5,19,2004-06-01T04:00:00Z,2004,6,1,5.9,13980,Fresh,68,Spilled,37,no,no,yes,yes,no,no,Barbet Schroeder
Citizen X,TV Movie,Drama,105,R,HBO Video,1995-02-25T05:00:00Z,1995,2,25,2000-07-11T04:00:00Z,2e3,7,11,7.7,11477,Fresh,86,Upright,86,no,no,no,no,no,no,Chris Gerolmo
The Comebacks,Feature Film,Comedy,84,PG-13,Fox Atomic,2007-10-19T04:00:00Z,2007,10,19,2008-01-29T05:00:00Z,2008,1,29,4.1,9853,Rotten,9,Spilled,33,no,no,no,no,no,no,Tom Brady
The Other Woman,Feature Film,Drama,102,R,IFC Films,2011-02-04T05:00:00Z,2011,2,4,2011-05-17T04:00:00Z,2011,5,17,6.4,14970,Rotten,39,Spilled,45,no,no,no,yes,no,no,Don Roos
Pusher III: I'm the Angel of Death,Feature Film,Drama,90,R,Nordisk Film Biografdistributi,2005-09-02T04:00:00Z,2005,9,2,2006-11-07T05:00:00Z,2006,11,7,7.3,9001,Fresh,92,Upright,81,no,no,no,no,no,no,Nicolas Winding Refn
Two for the Money,Feature Film,Drama,122,R,Universal Pictures,2005-10-07T04:00:00Z,2005,10,7,2006-01-17T05:00:00Z,2006,1,17,6.2,35868,Rotten,22,Spilled,48,no,no,yes,no,no,no,D.J. Caruso
Star Trek V - The Final Frontier,Feature Film,Action & Adventure,107,PG,Paramount Pictures,1989-06-09T04:00:00Z,1989,6,9,1999-04-20T04:00:00Z,1999,4,20,5.4,41767,Rotten,21,Spilled,24,no,no,no,no,no,no,William Shatner
Cop & 1/2,Feature Film,Comedy,97,PG,MCA Universal Home Video,1993-04-02T05:00:00Z,1993,4,2,1999-01-05T05:00:00Z,1999,1,5,3.8,6954,Rotten,17,Spilled,35,no,no,no,no,no,no,Henry Winkler
Django Unchained,Feature Film,Other,165,R,The Weinstein Co.,2012-12-25T05:00:00Z,2012,12,25,2013-04-16T04:00:00Z,2013,4,16,8.5,893008,Certified Fresh,88,Upright,91,yes,no,yes,no,no,no,Quentin Tarantino
Cousins,Feature Film,Drama,109,PG-13,Paramount Home Video,1989-01-01T05:00:00Z,1989,1,1,2002-01-15T05:00:00Z,2002,1,15,6.2,3467,Rotten,50,Upright,69,no,no,no,no,no,no,Joel Schumacher
Spy Game,Feature Film,Drama,126,R,Universal Pictures,2001-11-21T05:00:00Z,2001,11,21,2002-04-16T04:00:00Z,2002,4,16,7,117688,Fresh,66,Upright,75,no,no,no,no,no,no,Tony Scott
Held Up,Feature Film,Comedy,89,PG-13,Trimark,2000-05-12T04:00:00Z,2e3,5,12,2000-08-29T04:00:00Z,2e3,8,29,5.1,2817,Rotten,17,Spilled,43,no,no,yes,no,no,no,Steve Rash
